"estimator","variable","estimate","stderr","convergence","setup_id","sample_id","sigma","cutoff","u_dist","x_dist"
"tsgauss","mu_x",-0.00502680253563974,0.042991839058518,0,1,24,0.2,1,"gauss","gauss"
"tsgauss","sd_x",0.942870646657911,0.0318465305073784,0,1,24,0.2,1,"gauss","gauss"
"tsgauss","sd_w",0.961326746125767,0.0303998209339587,0,1,24,0.2,1,"gauss","gauss"
"tsgauss","sigma",0.195806756359973,0.0249651138742828,0,1,25,0.2,1,"gauss","gauss"
"tsgauss","mu_x",0.0392050429901507,0.0449786210925849,0,1,25,0.2,1,"gauss","gauss"
"tsgauss","sd_x",0.986507927925035,0.0329391942393988,0,1,25,0.2,1,"gauss","gauss"
"tsgauss","sd_w",1.00575254297226,0.031804687982987,0,1,25,0.2,1,"gauss","gauss"
"tsgauss","sigma",0.203287004676338,0.0239627277612389,0,1,26,0.2,1,"gauss","gauss"
"tsgauss","mu_x",-0.0189850854493411,0.0452894255589896,0,1,26,0.2,1,"gauss","gauss"
"tsgauss","sd_x",0.992088921146361,0.033409292713735,0,1,26,0.2,1,"gauss","gauss"
"tsgauss","sd_w",1.01270234211817,0.0320244599288049,0,1,26,0.2,1,"gauss","gauss"
"tsgauss","sigma",0.177794453839027,0.0230781982983391,0,1,27,0.2,1,"gauss","gauss"
"tsgauss","mu_x",0.0569529230437324,0.0448709609655713,0,1,27,0.2,1,"gauss","gauss"
"tsgauss","sd_x",0.987466810161735,0.0324661759933381,0,1,27,0.2,1,"gauss","gauss"
"tsgauss","sd_w",1.00334518934757,0.0317285607771123,0,1,27,0.2,1,"gauss","gauss"
"tsgauss","sigma",0.177991642093502,0.0260866705795913,0,1,28,0.2,1,"gauss","gauss"
"tsgauss","mu_x",0.00571630915854338,0.0494733097881002,0,1,28,0.2,1,"gauss","gauss"
"tsgauss","sd_x",1.09184392934133,0.0356306297834559,0,1,28,0.2,1,"gauss","gauss"
"tsgauss","sd_w",1.10625683758098,0.0349829128389084,0,1,28,0.2,1,"gauss","gauss"
"tsgauss","sigma",0.261363818324735,0.0361823391275316,0,1,29,0.2,1,"gauss","gauss"
"tsgauss","mu_x",0.0285066867756575,0.0445391611623255,0,1,29,0.2,1,"gauss","gauss"
"tsgauss","sd_x",0.96101893477315,0.0332691784942289,0,1,29,0.2,1,"gauss","gauss"
"tsgauss","sd_w",0.995925920197785,0.0314939428862409,0,1,29,0.2,1,"gauss","gauss"
"tsgauss","sigma",0.166490138144373,0.0257141487148205,0,1,30,0.2,1,"gauss","gauss"
"tsgauss","mu_x",-0.00288384211138716,0.0473348100252117,0,1,30,0.2,1,"gauss","gauss"
"tsgauss","sd_x",1.04526224171837,0.0340776501562973,0,1,30,0.2,1,"gauss","gauss"
"tsgauss","sd_w",1.05843852918412,0.0334707651550041,0,1,30,0.2,1,"gauss","gauss"
"tsgauss","sigma",0.209238848046498,0.0241088103371801,0,1,31,0.2,1,"gauss","gauss"
"tsgauss","mu_x",0.0397449172214139,0.0436541840699552,0,1,31,0.2,1,"gauss","gauss"
"tsgauss","sd_x",0.953447952368109,0.0318959900022136,0,1,31,0.2,1,"gauss","gauss"
"tsgauss","sd_w",0.976137230827083,0.0308681695830311,0,1,31,0.2,1,"gauss","gauss"
"tsgauss","sigma",0.232723951550441,0.0338991053929528,0,1,32,0.2,1,"gauss","gauss"
"tsgauss","mu_x",-0.0124362318033463,0.0442297015975197,0,1,32,0.2,1,"gauss","gauss"
"tsgauss","sd_x",0.961235046217919,0.033854062419384,0,1,32,0.2,1,"gauss","gauss"
"tsgauss","sd_w",0.989006193965851,0.0312751219294636,0,1,32,0.2,1,"gauss","gauss"
"tsgauss","sigma",0.206556197985457,0.0319107635690704,0,1,33,0.2,1,"gauss","gauss"
"tsgauss","mu_x",0.055486273068717,0.0436381497547584,0,1,33,0.2,1,"gauss","gauss"
"tsgauss","sd_x",0.953665871300401,0.0318919954039907,0,1,33,0.2,1,"gauss","gauss"
"tsgauss","sd_w",0.975778692639556,0.0308568316100238,0,1,33,0.2,1,"gauss","gauss"
"tsgauss","sigma",0.200074345107045,0.0341338781231757,0,1,34,0.2,1,"gauss","gauss"
"tsgauss","mu_x",-0.0311008675558305,0.0455382231249927,0,1,34,0.2,1,"gauss","gauss"
"tsgauss","sd_x",0.998416315532151,0.0334283589288575,0,1,34,0.2,1,"gauss","gauss"
"tsgauss","sd_w",1.01826562482037,0.0322003863748684,0,1,34,0.2,1,"gauss","gauss"
"tsgauss","sigma",0.22686797296493,0.0226063343018828,0,1,35,0.2,1,"gauss","gauss"
"tsgauss","mu_x",0.0303813688389423,0.0430760169135603,0,1,35,0.2,1,"gauss","gauss"
"tsgauss","sd_x",0.936110324380333,0.0321955185573202,0,1,35,0.2,1,"gauss","gauss"
"tsgauss","sd_w",0.963209020186516,0.0304593436660849,0,1,35,0.2,1,"gauss","gauss"
"tsgauss","sigma",0.23120371994449,0.0278583933642301,0,1,36,0.2,1,"gauss","gauss"
"tsgauss","mu_x",-0.0450412352638061,0.0429467713404261,0,1,36,0.2,1,"gauss","gauss"
"tsgauss","sd_x",0.932071576740356,0.0314878891438663,0,1,36,0.2,1,"gauss","gauss"
"tsgauss","sd_w",0.960319001313325,0.0303679532448834,0,1,36,0.2,1,"gauss","gauss"
"tsgauss","sigma",0.17514251096896,0.0309324476696398,0,1,37,0.2,1,"gauss","gauss"
"tsgauss","mu_x",0.0122082371321761,0.0454537530899216,0,1,37,0.2,1,"gauss","gauss"
